,STNAME,State,City,PopEstimate2016
30178,Michigan,MI,BALANCE OF CLAYTON CHARTER TOWNSHIP,7165
30179,Michigan,MI,CLIO CITY,2515
30180,Michigan,MI,CLIO CITY,2515
30181,Michigan,MI,DAVISON CITY,4929
30182,Michigan,MI,DAVISON CITY,4929
30183,Michigan,MI,DAVISON TOWNSHIP,19106
30184,Michigan,MI,FENTON CITY,11357
30185,Michigan,MI,FENTON CITY (PT.),11357
30186,Michigan,MI,FENTON CHARTER TOWNSHIP,15319
30187,Michigan,MI,FLINT CITY,97386
30188,Michigan,MI,FLINT CITY,97386
30189,Michigan,MI,FLINT CHARTER TOWNSHIP,30504
30190,Michigan,MI,FLUSHING CITY,8029
30191,Michigan,MI,FLUSHING CITY,8029
30192,Michigan,MI,FLUSHING CHARTER TOWNSHIP,10234
30193,Michigan,MI,FOREST TOWNSHIP,4515
30194,Michigan,MI,OTISVILLE VILLAGE,827
30195,Michigan,MI,OTTER LAKE VILLAGE (PT.),67
30196,Michigan,MI,BALANCE OF FOREST TOWNSHIP,3621
30197,Michigan,MI,GAINES TOWNSHIP,6547
30198,Michigan,MI,GAINES VILLAGE,367
30199,Michigan,MI,BALANCE OF GAINES TOWNSHIP,6180
30200,Michigan,MI,GENESEE CHARTER TOWNSHIP,20430
30201,Michigan,MI,GRAND BLANC CITY,7954
30202,Michigan,MI,GRAND BLANC CITY,7954
30203,Michigan,MI,GRAND BLANC CHARTER TOWNSHIP,36746
30204,Michigan,MI,LINDEN CITY,3862
30205,Michigan,MI,LINDEN CITY,3862
30206,Michigan,MI,MONTROSE CITY,1573
30207,Michigan,MI,MONTROSE CITY,1573
30208,Michigan,MI,MONTROSE CHARTER TOWNSHIP,5949
30209,Michigan,MI,MOUNT MORRIS CITY,2941
30210,Michigan,MI,MOUNT MORRIS CITY,2941
30211,Michigan,MI,MOUNT MORRIS TOWNSHIP,20518
30212,Michigan,MI,MUNDY TOWNSHIP,14565
30213,Michigan,MI,RICHFIELD TOWNSHIP,8332
30214,Michigan,MI,SWARTZ CREEK CITY,5557
30215,Michigan,MI,SWARTZ CREEK CITY,5557
30216,Michigan,MI,THETFORD TOWNSHIP,6709
30217,Michigan,MI,VIENNA CHARTER TOWNSHIP,12719
30218,Michigan,MI,GLADWIN COUNTY,25122
30219,Michigan,MI,BEAVERTON CITY,1048
30220,Michigan,MI,GLADWIN CITY,2875
30221,Michigan,MI,BALANCE OF GLADWIN COUNTY,21199
30222,Michigan,MI,BEAVERTON CITY,1048
30223,Michigan,MI,BEAVERTON CITY,1048
30224,Michigan,MI,BEAVERTON TOWNSHIP,1919
30225,Michigan,MI,BENTLEY TOWNSHIP,824
30226,Michigan,MI,BILLINGS TOWNSHIP,2359
30227,Michigan,MI,BOURRET TOWNSHIP,451
30228,Michigan,MI,BUCKEYE TOWNSHIP,1268
30229,Michigan,MI,BUTMAN TOWNSHIP,1969
30230,Michigan,MI,CLEMENT TOWNSHIP,881
30231,Michigan,MI,GLADWIN CITY,2875
30232,Michigan,MI,GLADWIN CITY,2875
30233,Michigan,MI,GLADWIN TOWNSHIP,1090
30234,Michigan,MI,GRIM TOWNSHIP,133
30235,Michigan,MI,GROUT TOWNSHIP,1920
30236,Michigan,MI,HAY TOWNSHIP,1327
30237,Michigan,MI,SAGE TOWNSHIP,2399
30238,Michigan,MI,SECORD TOWNSHIP,1126
30239,Michigan,MI,SHERMAN TOWNSHIP,1021
30240,Michigan,MI,TOBACCO TOWNSHIP,2512
30241,Michigan,MI,GOGEBIC COUNTY,15243
30242,Michigan,MI,BESSEMER CITY,1754
30243,Michigan,MI,IRONWOOD CITY,4955
30244,Michigan,MI,WAKEFIELD CITY,1709
30245,Michigan,MI,BALANCE OF GOGEBIC COUNTY,6825
30246,Michigan,MI,BESSEMER CITY,1754
30247,Michigan,MI,BESSEMER CITY,1754
30248,Michigan,MI,BESSEMER TOWNSHIP,1098
30249,Michigan,MI,ERWIN TOWNSHIP,297
30250,Michigan,MI,IRONWOOD CITY,4955
30251,Michigan,MI,IRONWOOD CITY,4955
30252,Michigan,MI,IRONWOOD CHARTER TOWNSHIP,2186
30253,Michigan,MI,MARENISCO TOWNSHIP,1612
30254,Michigan,MI,WAKEFIELD CITY,1709
30255,Michigan,MI,WAKEFIELD CITY,1709
30256,Michigan,MI,WAKEFIELD TOWNSHIP,280
30257,Michigan,MI,WATERSMEET TOWNSHIP,1352
30258,Michigan,MI,GRAND TRAVERSE COUNTY,92084
30259,Michigan,MI,FIFE LAKE VILLAGE,469
30260,Michigan,MI,KINGSLEY VILLAGE,1567
30261,Michigan,MI,TRAVERSE CITY CITY (PT.),15287
30262,Michigan,MI,BALANCE OF GRAND TRAVERSE COUNTY,74761
30263,Michigan,MI,ACME TOWNSHIP,4706
30264,Michigan,MI,BLAIR TOWNSHIP,8724
30265,Michigan,MI,EAST BAY TOWNSHIP,11441
30266,Michigan,MI,FIFE LAKE TOWNSHIP,2563
30267,Michigan,MI,FIFE LAKE VILLAGE,469
30268,Michigan,MI,BALANCE OF FIFE LAKE TOWNSHIP,2094
30269,Michigan,MI,GARFIELD CHARTER TOWNSHIP,17019
30270,Michigan,MI,GRANT TOWNSHIP,1119
30271,Michigan,MI,GREEN LAKE TOWNSHIP,6201
30272,Michigan,MI,LONG LAKE TOWNSHIP,9303
30273,Michigan,MI,MAYFIELD TOWNSHIP,1652
30274,Michigan,MI,PARADISE TOWNSHIP,5017
30275,Michigan,MI,KINGSLEY VILLAGE,1567
30276,Michigan,MI,BALANCE OF PARADISE TOWNSHIP,3450
30277,Michigan,MI,PENINSULA TOWNSHIP,5831
30278,Michigan,MI,TRAVERSE CITY CITY,15287
30279,Michigan,MI,TRAVERSE CITY CITY (PT.),15287
30280,Michigan,MI,UNION TOWNSHIP,434
30281,Michigan,MI,WHITEWATER TOWNSHIP,2787
30282,Michigan,MI,GRATIOT COUNTY,41202
30283,Michigan,MI,ALMA CITY,9149
30284,Michigan,MI,ASHLEY VILLAGE,553
30285,Michigan,MI,BRECKENRIDGE VILLAGE,1300
30286,Michigan,MI,ITHACA CITY,2823
30287,Michigan,MI,PERRINTON VILLAGE,397
30288,Michigan,MI,ST. LOUIS CITY,7060
30289,Michigan,MI,BALANCE OF GRATIOT COUNTY,19920
30290,Michigan,MI,ALMA CITY,9149
30291,Michigan,MI,ALMA CITY,9149
30292,Michigan,MI,ARCADA TOWNSHIP,1649
30293,Michigan,MI,BETHANY TOWNSHIP,1372
30294,Michigan,MI,ELBA TOWNSHIP,1363
30295,Michigan,MI,ASHLEY VILLAGE,553
30296,Michigan,MI,BALANCE OF ELBA TOWNSHIP,810
30297,Michigan,MI,EMERSON TOWNSHIP,932
30298,Michigan,MI,FULTON TOWNSHIP,2467
30299,Michigan,MI,PERRINTON VILLAGE,397
30300,Michigan,MI,BALANCE OF FULTON TOWNSHIP,2070
30301,Michigan,MI,HAMILTON TOWNSHIP,455
30302,Michigan,MI,ITHACA CITY,2823
30303,Michigan,MI,ITHACA CITY,2823
30304,Michigan,MI,LAFAYETTE TOWNSHIP,579
30305,Michigan,MI,NEWARK TOWNSHIP,1066
30306,Michigan,MI,NEW HAVEN TOWNSHIP,978
30307,Michigan,MI,NORTH SHADE TOWNSHIP,651
30308,Michigan,MI,NORTH STAR TOWNSHIP,869
30309,Michigan,MI,PINE RIVER TOWNSHIP,2226
30310,Michigan,MI,ST. LOUIS CITY,7060
30311,Michigan,MI,ST. LOUIS CITY,7060
30312,Michigan,MI,SEVILLE TOWNSHIP,2115
30313,Michigan,MI,SUMNER TOWNSHIP,1877
30314,Michigan,MI,WASHINGTON TOWNSHIP,849
30315,Michigan,MI,WHEELER TOWNSHIP,2722
30316,Michigan,MI,BRECKENRIDGE VILLAGE,1300
30317,Michigan,MI,BALANCE OF WHEELER TOWNSHIP,1422
30318,Michigan,MI,HILLSDALE COUNTY,45774
30319,Michigan,MI,ALLEN VILLAGE,188
30320,Michigan,MI,CAMDEN VILLAGE,501
30321,Michigan,MI,HILLSDALE CITY,8167
30322,Michigan,MI,JONESVILLE CITY,2215
30323,Michigan,MI,LITCHFIELD CITY,1346
30324,Michigan,MI,MONTGOMERY VILLAGE,336
30325,Michigan,MI,NORTH ADAMS VILLAGE,469
30326,Michigan,MI,READING CITY,1050
30327,Michigan,MI,WALDRON VILLAGE,531
30328,Michigan,MI,BALANCE OF HILLSDALE COUNTY,30971
30329,Michigan,MI,ADAMS TOWNSHIP,2439
30330,Michigan,MI,NORTH ADAMS VILLAGE,469
30331,Michigan,MI,BALANCE OF ADAMS TOWNSHIP,1970
30332,Michigan,MI,ALLEN TOWNSHIP,1622
30333,Michigan,MI,ALLEN VILLAGE,188
30334,Michigan,MI,BALANCE OF ALLEN TOWNSHIP,1434
30335,Michigan,MI,AMBOY TOWNSHIP,1156
30336,Michigan,MI,CAMBRIA TOWNSHIP,2479
30337,Michigan,MI,CAMDEN TOWNSHIP,2003
30338,Michigan,MI,CAMDEN VILLAGE,501
30339,Michigan,MI,MONTGOMERY VILLAGE,336
30340,Michigan,MI,BALANCE OF CAMDEN TOWNSHIP,1166
30341,Michigan,MI,FAYETTE TOWNSHIP,1052
30342,Michigan,MI,HILLSDALE CITY,8167
30343,Michigan,MI,HILLSDALE CITY,8167
30344,Michigan,MI,HILLSDALE TOWNSHIP,2008
30345,Michigan,MI,JEFFERSON TOWNSHIP,2987
30346,Michigan,MI,JONESVILLE CITY,2215
30347,Michigan,MI,JONESVILLE CITY,2215
30348,Michigan,MI,LITCHFIELD CITY,1346
30349,Michigan,MI,LITCHFIELD CITY,1346
30350,Michigan,MI,LITCHFIELD TOWNSHIP,977
30351,Michigan,MI,MOSCOW TOWNSHIP,1438
30352,Michigan,MI,PITTSFORD TOWNSHIP,1568
30353,Michigan,MI,RANSOM TOWNSHIP,906
30354,Michigan,MI,READING CITY,1050
30355,Michigan,MI,READING CITY,1050
30356,Michigan,MI,READING TOWNSHIP,1731
30357,Michigan,MI,SCIPIO TOWNSHIP,1833
30358,Michigan,MI,SOMERSET TOWNSHIP,4564
30359,Michigan,MI,WHEATLAND TOWNSHIP,1321
30360,Michigan,MI,WOODBRIDGE TOWNSHIP,1292
30361,Michigan,MI,WRIGHT TOWNSHIP,1620
30362,Michigan,MI,WALDRON VILLAGE,531
30363,Michigan,MI,BALANCE OF WRIGHT TOWNSHIP,1089
30364,Michigan,MI,HOUGHTON COUNTY,36555
30365,Michigan,MI,CALUMET VILLAGE,706
30366,Michigan,MI,COPPER CITY VILLAGE,187
30367,Michigan,MI,HANCOCK CITY,4586
30368,Michigan,MI,HOUGHTON CITY,7987
30369,Michigan,MI,LAKE LINDEN VILLAGE,993
30370,Michigan,MI,LAURIUM VILLAGE,1947
30371,Michigan,MI,SOUTH RANGE VILLAGE,748
30372,Michigan,MI,BALANCE OF HOUGHTON COUNTY,19401
30373,Michigan,MI,ADAMS TOWNSHIP,2533
30374,Michigan,MI,SOUTH RANGE VILLAGE,748
30375,Michigan,MI,BALANCE OF ADAMS TOWNSHIP,1785
30376,Michigan,MI,CALUMET CHARTER TOWNSHIP,6382
30377,Michigan,MI,CALUMET VILLAGE,706
30378,Michigan,MI,COPPER CITY VILLAGE,187
30379,Michigan,MI,LAURIUM VILLAGE,1947
30380,Michigan,MI,BALANCE OF CALUMET CHARTER TOWNSHIP,3542
30381,Michigan,MI,CHASSELL TOWNSHIP,1791
30382,Michigan,MI,DUNCAN TOWNSHIP,233
30383,Michigan,MI,ELM RIVER TOWNSHIP,175
30384,Michigan,MI,FRANKLIN TOWNSHIP,1443
30385,Michigan,MI,HANCOCK CITY,4586
30386,Michigan,MI,HANCOCK CITY,4586
30387,Michigan,MI,HANCOCK TOWNSHIP,499
30388,Michigan,MI,HOUGHTON CITY,7987
30389,Michigan,MI,HOUGHTON CITY,7987
30390,Michigan,MI,LAIRD TOWNSHIP,548
30391,Michigan,MI,OSCEOLA TOWNSHIP,1858
30392,Michigan,MI,PORTAGE CHARTER TOWNSHIP,3179
30393,Michigan,MI,QUINCY TOWNSHIP,267
30394,Michigan,MI,SCHOOLCRAFT TOWNSHIP,1815
30395,Michigan,MI,LAKE LINDEN VILLAGE (PT.),991
30396,Michigan,MI,BALANCE OF SCHOOLCRAFT TOWNSHIP,824
30397,Michigan,MI,STANTON TOWNSHIP,1398
30398,Michigan,MI,TORCH LAKE TOWNSHIP,1861
30399,Michigan,MI,LAKE LINDEN VILLAGE (PT.),2
30400,Michigan,MI,BALANCE OF TORCH LAKE TOWNSHIP,1859
30401,Michigan,MI,HURON COUNTY,31481
30402,Michigan,MI,BAD AXE CITY,2980
30403,Michigan,MI,CASEVILLE CITY,738
30404,Michigan,MI,ELKTON VILLAGE,769
30405,Michigan,MI,HARBOR BEACH CITY,1616
30406,Michigan,MI,KINDE VILLAGE,426
30407,Michigan,MI,OWENDALE VILLAGE,229
30408,Michigan,MI,PIGEON VILLAGE,1152
30409,Michigan,MI,PORT AUSTIN VILLAGE,633
30410,Michigan,MI,PORT HOPE VILLAGE,254
30411,Michigan,MI,SEBEWAING VILLAGE,1669
30412,Michigan,MI,UBLY VILLAGE,817
30413,Michigan,MI,BALANCE OF HURON COUNTY,20198
30414,Michigan,MI,BAD AXE CITY,2980
30415,Michigan,MI,BAD AXE CITY,2980
30416,Michigan,MI,BINGHAM TOWNSHIP,1627
30417,Michigan,MI,UBLY VILLAGE,817
30418,Michigan,MI,BALANCE OF BINGHAM TOWNSHIP,810
30419,Michigan,MI,BLOOMFIELD TOWNSHIP,433
30420,Michigan,MI,BROOKFIELD TOWNSHIP,724
30421,Michigan,MI,OWENDALE VILLAGE,229
30422,Michigan,MI,BALANCE OF BROOKFIELD TOWNSHIP,495
30423,Michigan,MI,CASEVILLE CITY,738
30424,Michigan,MI,CASEVILLE CITY,738
30425,Michigan,MI,CASEVILLE TOWNSHIP,1709
30426,Michigan,MI,CHANDLER TOWNSHIP,449
30427,Michigan,MI,COLFAX TOWNSHIP,1794
30428,Michigan,MI,DWIGHT TOWNSHIP,722
30429,Michigan,MI,KINDE VILLAGE (PT.),291
30430,Michigan,MI,BALANCE OF DWIGHT TOWNSHIP,431
30431,Michigan,MI,FAIRHAVEN TOWNSHIP,1047
30432,Michigan,MI,GORE TOWNSHIP,137
30433,Michigan,MI,GRANT TOWNSHIP,872
30434,Michigan,MI,HARBOR BEACH CITY,1616
30435,Michigan,MI,HARBOR BEACH CITY,1616
30436,Michigan,MI,HUME TOWNSHIP,710
30437,Michigan,MI,HURON TOWNSHIP,412
30438,Michigan,MI,LAKE TOWNSHIP,814
30439,Michigan,MI,LINCOLN TOWNSHIP,768
30440,Michigan,MI,KINDE VILLAGE (PT.),135
30441,Michigan,MI,BALANCE OF LINCOLN TOWNSHIP,633
30442,Michigan,MI,MCKINLEY TOWNSHIP,424
30443,Michigan,MI,MEADE TOWNSHIP,681
30444,Michigan,MI,KINDE VILLAGE (PT.),0
30445,Michigan,MI,BALANCE OF MEADE TOWNSHIP,681
30446,Michigan,MI,OLIVER TOWNSHIP,1405
30447,Michigan,MI,ELKTON VILLAGE,769
30448,Michigan,MI,BALANCE OF OLIVER TOWNSHIP,636
30449,Michigan,MI,PARIS TOWNSHIP,458
30450,Michigan,MI,POINTE AUX BARQUES TOWNSHIP,10
30451,Michigan,MI,PORT AUSTIN TOWNSHIP,1354
30452,Michigan,MI,PORT AUSTIN VILLAGE,633
30453,Michigan,MI,BALANCE OF PORT AUSTIN TOWNSHIP,721
30454,Michigan,MI,RUBICON TOWNSHIP,694
30455,Michigan,MI,PORT HOPE VILLAGE,254
30456,Michigan,MI,BALANCE OF RUBICON TOWNSHIP,440
30457,Michigan,MI,SAND BEACH TOWNSHIP,1160
30458,Michigan,MI,SEBEWAING TOWNSHIP,2585
30459,Michigan,MI,SEBEWAING VILLAGE,1669
30460,Michigan,MI,BALANCE OF SEBEWAING TOWNSHIP,916
30461,Michigan,MI,SHERIDAN TOWNSHIP,676
30462,Michigan,MI,SHERMAN TOWNSHIP,1026
30463,Michigan,MI,SIGEL TOWNSHIP,443
30464,Michigan,MI,VERONA TOWNSHIP,1198
30465,Michigan,MI,WINSOR TOWNSHIP,1815
30466,Michigan,MI,PIGEON VILLAGE,1152
30467,Michigan,MI,BALANCE OF WINSOR TOWNSHIP,663
30468,Michigan,MI,INGHAM COUNTY,288051
30469,Michigan,MI,DANSVILLE VILLAGE,555
30470,Michigan,MI,EAST LANSING CITY (PT.),46910
30471,Michigan,MI,LANSING CITY (PT.),111226
30472,Michigan,MI,LESLIE CITY,1872
30473,Michigan,MI,MASON CITY,8395
30474,Michigan,MI,STOCKBRIDGE VILLAGE,1234
30475,Michigan,MI,WEBBERVILLE VILLAGE,1281
30476,Michigan,MI,WILLIAMSTON CITY,3887
30477,Michigan,MI,BALANCE OF INGHAM COUNTY,112691
30478,Michigan,MI,ALAIEDON TOWNSHIP,2933
30479,Michigan,MI,AURELIUS TOWNSHIP,4299
30480,Michigan,MI,BUNKER HILL TOWNSHIP,2126
30481,Michigan,MI,DELHI CHARTER TOWNSHIP,26949
30482,Michigan,MI,EAST LANSING CITY,46910
30483,Michigan,MI,EAST LANSING CITY (PT.),46910
30484,Michigan,MI,INGHAM TOWNSHIP,2470
30485,Michigan,MI,DANSVILLE VILLAGE,555
30486,Michigan,MI,BALANCE OF INGHAM TOWNSHIP,1915
30487,Michigan,MI,LANSING CITY,111226
30488,Michigan,MI,LANSING CITY (PT.),111226
30489,Michigan,MI,LANSING CHARTER TOWNSHIP,8147
30490,Michigan,MI,LEROY TOWNSHIP,3555
30491,Michigan,MI,WEBBERVILLE VILLAGE,1281
30492,Michigan,MI,BALANCE OF LEROY TOWNSHIP,2274
30493,Michigan,MI,LESLIE CITY,1872
30494,Michigan,MI,LESLIE CITY,1872
30495,Michigan,MI,LESLIE TOWNSHIP,2408
30496,Michigan,MI,LOCKE TOWNSHIP,1829
30497,Michigan,MI,MASON CITY,8395
30498,Michigan,MI,MASON CITY,8395
30499,Michigan,MI,MERIDIAN CHARTER TOWNSHIP,42414
30500,Michigan,MI,ONONDAGA TOWNSHIP,3166
30501,Michigan,MI,STOCKBRIDGE TOWNSHIP,3950
30502,Michigan,MI,STOCKBRIDGE VILLAGE,1234
30503,Michigan,MI,BALANCE OF STOCKBRIDGE TOWNSHIP,2716
30504,Michigan,MI,VEVAY TOWNSHIP,3586
30505,Michigan,MI,WHEATFIELD TOWNSHIP,1655
30506,Michigan,MI,WHITE OAK TOWNSHIP,1186
30507,Michigan,MI,WILLIAMSTON CITY,3887
30508,Michigan,MI,WILLIAMSTON CITY,3887
30509,Michigan,MI,WILLIAMSTOWN TOWNSHIP,5088
30510,Michigan,MI,IONIA COUNTY,64232
30511,Michigan,MI,BELDING CITY,5769
30512,Michigan,MI,CLARKSVILLE VILLAGE,400
30513,Michigan,MI,HUBBARDSTON VILLAGE (PT.),356
30514,Michigan,MI,IONIA CITY,11300
30515,Michigan,MI,LAKE ODESSA VILLAGE,2032
30516,Michigan,MI,LYONS VILLAGE,792
30517,Michigan,MI,MUIR VILLAGE,606
30518,Michigan,MI,PEWAMO VILLAGE,476
30519,Michigan,MI,PORTLAND CITY,3936
30520,Michigan,MI,SARANAC VILLAGE,1335
30521,Michigan,MI,BALANCE OF IONIA COUNTY,37230
30522,Michigan,MI,BELDING CITY,5769
30523,Michigan,MI,BELDING CITY,5769
30524,Michigan,MI,BERLIN TOWNSHIP,2159
30525,Michigan,MI,BOSTON TOWNSHIP,5761
30526,Michigan,MI,SARANAC VILLAGE,1335
30527,Michigan,MI,BALANCE OF BOSTON TOWNSHIP,4426
30528,Michigan,MI,CAMPBELL TOWNSHIP,2415
30529,Michigan,MI,CLARKSVILLE VILLAGE,400
30530,Michigan,MI,BALANCE OF CAMPBELL TOWNSHIP,2015
30531,Michigan,MI,DANBY TOWNSHIP,3015
30532,Michigan,MI,EASTON TOWNSHIP,3098
30533,Michigan,MI,IONIA CITY,11300
30534,Michigan,MI,IONIA CITY,11300
30535,Michigan,MI,IONIA TOWNSHIP,3791
30536,Michigan,MI,LYONS VILLAGE (PT.),54
30537,Michigan,MI,BALANCE OF IONIA TOWNSHIP,3737
30538,Michigan,MI,KEENE TOWNSHIP,1851
30539,Michigan,MI,LYONS TOWNSHIP,3489
30540,Michigan,MI,LYONS VILLAGE (PT.),738
30541,Michigan,MI,MUIR VILLAGE,606
30542,Michigan,MI,PEWAMO VILLAGE,476
30543,Michigan,MI,BALANCE OF LYONS TOWNSHIP,1669
30544,Michigan,MI,NORTH PLAINS TOWNSHIP,1289
30545,Michigan,MI,HUBBARDSTON VILLAGE (PT.),356
30546,Michigan,MI,BALANCE OF NORTH PLAINS TOWNSHIP,933
30547,Michigan,MI,ODESSA TOWNSHIP,3812
30548,Michigan,MI,LAKE ODESSA VILLAGE,2032
30549,Michigan,MI,BALANCE OF ODESSA TOWNSHIP,1780
30550,Michigan,MI,ORANGE TOWNSHIP,993
30551,Michigan,MI,ORLEANS TOWNSHIP,2758
30552,Michigan,MI,OTISCO TOWNSHIP,2305
30553,Michigan,MI,PORTLAND CITY,3936
30554,Michigan,MI,PORTLAND CITY,3936
30555,Michigan,MI,PORTLAND TOWNSHIP,3436
30556,Michigan,MI,RONALD TOWNSHIP,1876
30557,Michigan,MI,SEBEWA TOWNSHIP,1179
30558,Michigan,MI,IOSCO COUNTY,25327
30559,Michigan,MI,EAST TAWAS CITY,2750
30560,Michigan,MI,TAWAS CITY CITY,1787
30561,Michigan,MI,WHITTEMORE CITY,376
30562,Michigan,MI,BALANCE OF IOSCO COUNTY,20414
30563,Michigan,MI,ALABASTER TOWNSHIP,477
30564,Michigan,MI,AU SABLE CHARTER TOWNSHIP,2009
30565,Michigan,MI,BALDWIN TOWNSHIP,1658
30566,Michigan,MI,BURLEIGH TOWNSHIP,766
30567,Michigan,MI,EAST TAWAS CITY,2750
30568,Michigan,MI,EAST TAWAS CITY,2750
30569,Michigan,MI,GRANT TOWNSHIP,1513
30570,Michigan,MI,OSCODA CHARTER TOWNSHIP,6852
30571,Michigan,MI,PLAINFIELD TOWNSHIP,3704
30572,Michigan,MI,RENO TOWNSHIP,575
30573,Michigan,MI,SHERMAN TOWNSHIP,438
30574,Michigan,MI,TAWAS TOWNSHIP,1709
30575,Michigan,MI,TAWAS CITY CITY,1787
30576,Michigan,MI,TAWAS CITY CITY,1787
30577,Michigan,MI,WHITTEMORE CITY,376
30578,Michigan,MI,WHITTEMORE CITY,376
30579,Michigan,MI,WILBER TOWNSHIP,713
30580,Michigan,MI,IRON COUNTY,11195
30581,Michigan,MI,ALPHA VILLAGE,136
30582,Michigan,MI,CASPIAN CITY,856
30583,Michigan,MI,CRYSTAL FALLS CITY,1392
30584,Michigan,MI,GAASTRA CITY,328
30585,Michigan,MI,IRON RIVER CITY,2864
30586,Michigan,MI,BALANCE OF IRON COUNTY,5619
30587,Michigan,MI,BATES TOWNSHIP,873
30588,Michigan,MI,CASPIAN CITY,856
30589,Michigan,MI,CASPIAN CITY,856
30590,Michigan,MI,CRYSTAL FALLS CITY,1392
30591,Michigan,MI,CRYSTAL FALLS CITY,1392
30592,Michigan,MI,CRYSTAL FALLS TOWNSHIP,1661
30593,Michigan,MI,GAASTRA CITY,328
30594,Michigan,MI,GAASTRA CITY,328
30595,Michigan,MI,HEMATITE TOWNSHIP,319
30596,Michigan,MI,IRON RIVER CITY,2864
30597,Michigan,MI,IRON RIVER CITY,2864
30598,Michigan,MI,IRON RIVER TOWNSHIP,972
30599,Michigan,MI,MANSFIELD TOWNSHIP,227
30600,Michigan,MI,MASTODON TOWNSHIP,620
30601,Michigan,MI,ALPHA VILLAGE,136
30602,Michigan,MI,BALANCE OF MASTODON TOWNSHIP,484
30603,Michigan,MI,STAMBAUGH TOWNSHIP,1083
30604,Michigan,MI,ISABELLA COUNTY,71282
30605,Michigan,MI,CLARE CITY (PT.),64
30606,Michigan,MI,LAKE ISABELLA VILLAGE,1668
30607,Michigan,MI,MOUNT PLEASANT CITY,26313
30608,Michigan,MI,ROSEBUSH VILLAGE,368
30609,Michigan,MI,SHEPHERD VILLAGE,1516
30610,Michigan,MI,BALANCE OF ISABELLA COUNTY,41353
30611,Michigan,MI,BROOMFIELD TOWNSHIP,1839
30612,Michigan,MI,LAKE ISABELLA VILLAGE (PT.),509
30613,Michigan,MI,BALANCE OF BROOMFIELD TOWNSHIP,1330
30614,Michigan,MI,CHIPPEWA TOWNSHIP,4627
30615,Michigan,MI,CLARE CITY,64
30616,Michigan,MI,CLARE CITY (PT.),64
30617,Michigan,MI,COE TOWNSHIP,3075
30618,Michigan,MI,SHEPHERD VILLAGE,1516
30619,Michigan,MI,BALANCE OF COE TOWNSHIP,1559
30620,Michigan,MI,COLDWATER TOWNSHIP,771
30621,Michigan,MI,DEERFIELD TOWNSHIP,3231
30622,Michigan,MI,DENVER TOWNSHIP,1143
30623,Michigan,MI,FREMONT TOWNSHIP,1445
30624,Michigan,MI,GILMORE TOWNSHIP,1455
30625,Michigan,MI,ISABELLA TOWNSHIP,2245
30626,Michigan,MI,ROSEBUSH VILLAGE,368
30627,Michigan,MI,BALANCE OF ISABELLA TOWNSHIP,1877
30628,Michigan,MI,LINCOLN TOWNSHIP,2109
30629,Michigan,MI,MOUNT PLEASANT CITY,26313
30630,Michigan,MI,MOUNT PLEASANT CITY,26313
30631,Michigan,MI,NOTTAWA TOWNSHIP,2277
30632,Michigan,MI,ROLLAND TOWNSHIP,1309
30633,Michigan,MI,SHERMAN TOWNSHIP,2963
30634,Michigan,MI,LAKE ISABELLA VILLAGE (PT.),1159
30635,Michigan,MI,BALANCE OF SHERMAN TOWNSHIP,1804
30636,Michigan,MI,UNION CHARTER TOWNSHIP,13680
30637,Michigan,MI,VERNON TOWNSHIP,1347
30638,Michigan,MI,WISE TOWNSHIP,1389
30639,Michigan,MI,JACKSON COUNTY,158460
30640,Michigan,MI,BROOKLYN VILLAGE,1192
30641,Michigan,MI,CEMENT CITY VILLAGE (PT.),33
30642,Michigan,MI,CONCORD VILLAGE,1046
30643,Michigan,MI,GRASS LAKE VILLAGE,1164
30644,Michigan,MI,HANOVER VILLAGE,427
30645,Michigan,MI,JACKSON CITY,32918
30646,Michigan,MI,PARMA VILLAGE,755
30647,Michigan,MI,SPRINGPORT VILLAGE,785
30648,Michigan,MI,BALANCE OF JACKSON COUNTY,120140
30649,Michigan,MI,BLACKMAN CHARTER TOWNSHIP,23370
30650,Michigan,MI,COLUMBIA TOWNSHIP,7384
30651,Michigan,MI,BROOKLYN VILLAGE,1192
30652,Michigan,MI,CEMENT CITY VILLAGE (PT.),33
30653,Michigan,MI,BALANCE OF COLUMBIA TOWNSHIP,6159
30654,Michigan,MI,CONCORD TOWNSHIP,2709
30655,Michigan,MI,CONCORD VILLAGE,1046
30656,Michigan,MI,BALANCE OF CONCORD TOWNSHIP,1663
30657,Michigan,MI,GRASS LAKE CHARTER TOWNSHIP,5940
30658,Michigan,MI,GRASS LAKE VILLAGE,1164
30659,Michigan,MI,BALANCE OF GRASS LAKE CHARTER TOWNSHIP,4776
30660,Michigan,MI,HANOVER TOWNSHIP,3679
30661,Michigan,MI,HANOVER VILLAGE,427
30662,Michigan,MI,BALANCE OF HANOVER TOWNSHIP,3252
30663,Michigan,MI,HENRIETTA TOWNSHIP,4696
30664,Michigan,MI,JACKSON CITY,32918
30665,Michigan,MI,JACKSON CITY,32918
30666,Michigan,MI,LEONI TOWNSHIP,13663
30667,Michigan,MI,LIBERTY TOWNSHIP,2968
30668,Michigan,MI,NAPOLEON TOWNSHIP,6733
30669,Michigan,MI,NORVELL TOWNSHIP,2951
30670,Michigan,MI,PARMA TOWNSHIP,2704
30671,Michigan,MI,PARMA VILLAGE (PT.),222
