,State,County,City,Hospital,Location,Patient Rating,Completed Surveys,Survey Response Rate (%),Mortality Rate (by County),Population (by County)
416,NM,EDDY,CARLSBAD,CARLSBAD MEDICAL CENTER,"2430 WEST PIERCE STREET
CARLSBAD, NM
(32.44184, -104.258642)",3,410,23,NaN,NaN
417,NM,DONA ANA,LAS CRUCES,MEMORIAL MEDICAL CENTER,"2450 SOUTH TELSHOR BLVD
LAS CRUCES, NM
(32.291993, -106.735018)",2,612,26,NaN,NaN
418,NM,BERNALILLO,ALBUQUERQUE,LOVELACE WESTSIDE HOSPITAL,"10501 GOLF COURSE ROAD NW
ALBUQUERQUE, NM
(35.207508, -106.675974)",4,678,30,NaN,NaN
419,NM,MCKINLEY,GALLUP,GALLUP INDIAN MEDICAL CENTER,"516 E NIZHONI BLVD
GALLUP, NM
(35.508444, -108.730226)",3,193,10,NaN,NaN
420,CT,HARTFORD,BRISTOL,BRISTOL HOSPITAL,"BREWSTER RD
BRISTOL, CT
",4,465,25,NaN,NaN
421,NM,DONA ANA,LAS CRUCES,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,"4311 EAST LOHMAN AVENUE
LAS CRUCES, NM
(32.322639, -106.728297)",3,571,27,NaN,NaN
422,NY,ALBANY,ALBANY,ALBANY MEMORIAL HOSPITAL,"600 NORTHERN BOULEVARD
ALBANY, NY
(42.674685, -73.748861)",2,610,26,NaN,NaN
423,CT,HARTFORD,FARMINGTON,JOHN DEMPSEY HOSPITAL,"263 FARMINGTON AVE
FARMINGTON, CT
(41.73509, -72.79582)",4,825,26,NaN,NaN
424,NM,LINCOLN,RUIDOSO,LINCOLN COUNTY MEDICAL CENTER,"211 SUDDERTH DRIVE
RUIDOSO, NM
(33.323052, -105.631136)",4,150,19,NaN,NaN
425,NY,WYOMING,WARSAW,WYOMING COUNTY COMMUNITY HOSPITAL,"400 NORTH MAIN STREET
WARSAW, NY
(42.753447, -78.132533)",3,258,30,NaN,NaN
426,NM,CHAVES,ROSWELL,LOVELACE REGIONAL HOSPITAL - ROSWELL,"117 EAST 19TH STREET
ROSWELL, NM
(33.415976, -104.521828)",3,527,28,NaN,NaN
427,NY,ERIE,BUFFALO,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522
BUFFALO, NY
(42.87459, -78.850067)",2,1394,28,NaN,NaN
428,DE,NEW CASTLE,WILMINGTON,ST FRANCIS HOSPITAL,"7TH AND CLAYTON STS
WILMINGTON, DE
",2,613,18,NaN,NaN
429,NY,ULSTER,KINGSTON,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,"396 BROADWAY
KINGSTON, NY
(41.92635, -73.995402)",2,742,21,NaN,NaN
430,NM,SANDOVAL,RIO RANCHO,UNM SANDOVAL REGIONAL MEDICAL CENTER,"3001 BROADMOOR BLVD NE
RIO RANCHO, NM
(35.307351, -106.677003)",3,320,25,NaN,NaN
431,NY,BRONX,BRONX,BRONX-LEBANON HOSPITAL CENTER,"1276 FULTON AVENUE
BRONX, NY
(40.83175, -73.903756)",1,640,8,NaN,NaN
432,NY,WESTCHESTER,YONKERS,ST JOSEPH'S MEDICAL CENTER,"127 SOUTH BROADWAY
YONKERS, NY
(40.929614, -73.897003)",2,192,10,NaN,NaN
433,NY,BROOME,BINGHAMTON,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","169 RIVERSIDE DRIVE
BINGHAMTON, NY
(42.09264, -75.935558)",3,1637,36,NaN,NaN
434,NY,NASSAU,EAST MEADOW,NASSAU UNIVERSITY MEDICAL CENTER,"2201 HEMPSTEAD TURNPIKE
EAST MEADOW, NY
(40.725298, -73.554413)",1,1580,22,NaN,NaN
435,NY,CHENANGO,NORWICH,"CHENANGO MEMORIAL HOSPITAL, INC","179 NORTH BROAD STREET
NORWICH, NY
(42.542038, -75.524724)",3,288,29,NaN,NaN
436,NY,WAYNE,NEWARK,NEWARK-WAYNE COMMUNITY HOSPITAL,"111 DRIVING PARK AVENUE
NEWARK, NY
(43.059959, -77.100736)",3,811,23,NaN,NaN
437,NY,DUTCHESS,POUGHKEEPSIE,VASSAR BROTHERS MEDICAL CENTER,"45 READE PLACE
POUGHKEEPSIE, NY
(41.694567, -73.935723)",2,4158,31,NaN,NaN
438,NY,QUEENS,JAMAICA,JAMAICA HOSPITAL MEDICAL CENTER,"89TH AVENUE AND VAN WYCK EXPRESSWAY
JAMAICA, NY
(40.701412, -73.816302)",2,558,14,NaN,NaN
439,NY,NEW YORK,NEW YORK,MOUNT SINAI WEST,"1000 TENTH AVENUE
NEW YORK, NY
(40.770129, -73.987846)",2,554,16,NaN,NaN
440,NY,SUFFOLK,BAY SHORE,SOUTHSIDE HOSPITAL,"301 EAST MAIN STREET
BAY SHORE, NY
(40.724858, -73.240889)",2,696,23,NaN,NaN
441,NY,KINGS,BROOKLYN,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","2525 KINGS HIGHWAY
BROOKLYN, NY
(40.613783, -73.948321)",2,882,16,NaN,NaN
442,NY,KINGS,BROOKLYN,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,"121 DEKALB AVENUE
BROOKLYN, NY
(40.689785, -73.9774)",2,577,10,NaN,NaN
443,NY,ALBANY,ALBANY,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34
ALBANY, NY
(42.653254, -73.77386)",2,1266,26,NaN,NaN
444,NY,SUFFOLK,HUNTINGTON,HUNTINGTON HOSPITAL,"270 PARK AVENUE
HUNTINGTON, NY
(40.879201, -73.417488)",3,519,26,NaN,NaN
445,NY,ONEIDA,UTICA,FAXTON-ST LUKE'S HEALTHCARE,"1656 CHAMPLIN AVENUE
UTICA, NY
(43.095687, -75.274291)",3,556,22,NaN,NaN
446,NY,RICHMOND,STATEN ISLAND,RICHMOND UNIVERSITY MEDICAL CENTER,"355 BARD AVENUE
STATEN ISLAND, NY
(40.63551, -74.106693)",2,605,16,NaN,NaN
447,NY,FRANKLIN,MALONE,ALICE HYDE MEDICAL CENTER,"133 PARK STREET
MALONE, NY
(44.856658, -74.29193)",3,256,25,NaN,NaN
448,NY,MONTGOMERY,AMSTERDAM,ST MARY'S HOSPITAL AT AMSTERDAM,"427 GUY PARK AVENUE
AMSTERDAM, NY
(42.953648, -74.216041)",3,926,35,NaN,NaN
449,NY,SUFFOLK,GREENPORT,EASTERN LONG ISLAND HOSPITAL,"201 MANOR PLACE
GREENPORT, NY
(41.110951, -72.361459)",3,139,34,NaN,NaN
450,NY,GENESEE,BATAVIA,UNITED MEMORIAL MEDICAL CENTER,"127 NORTH STREET
BATAVIA, NY
(43.003997, -78.177592)",3,591,30,NaN,NaN
451,NY,FRANKLIN,SARANAC LAKE,ADIRONDACK MEDICAL CENTER,"2233 STATE ROUTE 86
SARANAC LAKE, NY
(44.344548, -74.144597)",4,552,30,NaN,NaN
452,NY,COLUMBIA,HUDSON,COLUMBIA MEMORIAL HOSPITAL,"71 PROSPECT AVENUE
HUDSON, NY
(42.246254, -73.776128)",2,546,23,NaN,NaN
453,NY,ALLEGANY,WELLSVILLE,JONES MEMORIAL HOSPITAL,"191 NORTH MAIN STREET
WELLSVILLE, NY
(42.122878, -77.949784)",3,313,27,NaN,NaN
454,NY,NIAGARA,NIAGARA FALLS,NIAGARA FALLS MEMORIAL MEDICAL CENTER,"621 TENTH STREET
NIAGARA FALLS, NY
(43.093433, -79.050429)",2,558,21,NaN,NaN
455,NY,BRONX,BRONX,LINCOLN MEDICAL & MENTAL HEALTH CENTER,"234 EAST 149TH STREET
BRONX, NY
(40.817681, -73.924072)",1,702,9,NaN,NaN
456,FL,DUVAL,JACKSONVILLE,ST VINCENT'S MEDICAL CENTER RIVERSIDE,"1 SHIRCLIFF WAY
JACKSONVILLE, FL
(30.307891, -81.689154)",3,3640,35,NaN,NaN
457,NY,BRONX,BRONX,MONTEFIORE MEDICAL CENTER,"111 EAST 210TH STREET
BRONX, NY
(40.879777, -73.879975)",2,750,12,NaN,NaN
458,NY,ALBANY,ALBANY,ST PETER'S HOSPITAL,"315 SOUTH MANNING BOULEVARD
ALBANY, NY
(42.660176, -73.802382)",3,4833,33,NaN,NaN
459,NY,WESTCHESTER,BRONXVILLE,LAWRENCE HOSPITAL CENTER,"55 PALMER AVENUE
BRONXVILLE, NY
(40.941585, -73.836593)",3,1447,20,NaN,NaN
460,NY,WESTCHESTER,MOUNT VERNON,MONTEFIORE MOUNT VERNON HOSPITAL,"12 NORTH 7TH AVENUE
MOUNT VERNON, NY
(40.912754, -73.840011)",2,191,9,NaN,NaN
461,NY,ONTARIO,CANANDAIGUA,F F THOMPSON HOSPITAL,"350 PARRISH STREET
CANANDAIGUA, NY
(42.875591, -77.288198)",3,865,31,NaN,NaN
462,NY,CHEMUNG,ELMIRA,ARNOT OGDEN MEDICAL CENTER,"600 ROE AVENUE
ELMIRA, NY
(42.099256, -76.826668)",3,674,28,NaN,NaN
463,NY,ERIE,BUFFALO,SISTERS OF CHARITY HOSPITAL,"2157 MAIN STREET
BUFFALO, NY
(42.92917, -78.849916)",3,752,27,NaN,NaN
464,NY,NASSAU,MANHASSET,NORTH SHORE UNIVERSITY HOSPITAL,"300 COMMUNITY DRIVE
MANHASSET, NY
(40.779269, -73.703029)",3,425,24,NaN,NaN
465,NY,NEW YORK,NEW YORK,LENOX HILL HOSPITAL,"100 EAST 77TH STREET
NEW YORK, NY
(40.773964, -73.960611)",3,666,20,NaN,NaN
466,NY,ONONDAGA,SYRACUSE,ST JOSEPH'S HOSPITAL HEALTH CENTER,"301 PROSPECT AVENUE
SYRACUSE, NY
(43.055589, -76.149176)",3,2842,28,NaN,NaN
467,NY,ROCKLAND,NYACK,NYACK HOSPITAL,"160 NORTH MIDLAND AVENUE
NYACK, NY
(41.095251, -73.925253)",2,476,16,NaN,NaN
468,FL,OKALOOSA,NICEVILLE,TWIN CITIES HOSPITAL,"2190 HWY 85 N
NICEVILLE, FL
",4,349,25,NaN,NaN
469,NY,QUEENS,ELMHURST,ELMHURST HOSPITAL CENTER,"79-01 BROADWAY
ELMHURST, NY
(40.74434, -73.88598)",2,782,12,NaN,NaN
470,NY,ORANGE,PORT JERVIS,BON SECOURS COMMUNITY HOSPITAL,"160 EAST MAIN STREET
PORT JERVIS, NY
(41.367911, -74.682564)",3,303,19,NaN,NaN
471,NY,MONROE,ROCHESTER,ROCHESTER GENERAL HOSPITAL,"1425 PORTLAND AVENUE
ROCHESTER, NY
(43.192542, -77.584424)",3,3303,27,NaN,NaN
472,NY,ERIE,KENMORE,KENMORE MERCY HOSPITAL,"2950 ELMWOOD AVENUE
KENMORE, NY
(42.9779, -78.878678)",4,745,38,NaN,NaN
473,NY,CHAUTAUQUA,IRVING,TLC HEALTH NETWORK,"845 ROUTES 5 AND 20
IRVING, NY
(42.559416, -79.12704)",4,102,31,NaN,NaN
474,NY,ORANGE,MIDDLETOWN,ORANGE REGIONAL MEDICAL CENTER,"707 EAST MAIN STREET
MIDDLETOWN, NY
(41.439962, -74.369415)",3,738,21,NaN,NaN
475,NY,MADISON,ONEIDA,ONEIDA HEALTHCARE,"321 GENESEE STREET
ONEIDA, NY
(43.078755, -75.654264)",4,318,29,NaN,NaN
476,NY,BRONX,BRONX,JACOBI MEDICAL CENTER,"1400 PELHAM PARKWAY SOUTH
BRONX, NY
(40.857455, -73.84721)",2,616,10,NaN,NaN
477,NY,SUFFOLK,RIVERHEAD,PECONIC BAY MEDICAL CENTER,"1300 ROANOKE AVENUE
RIVERHEAD, NY
(40.933577, -72.674317)",3,574,21,NaN,NaN
478,NY,NEW YORK,NEW YORK,NEW YORK-PRESBYTERIAN HOSPITAL,"525 EAST 68TH STREET
NEW YORK, NY
(40.76415, -73.954335)",3,1678,19,NaN,NaN
479,NY,CATTARAUGUS,OLEAN,OLEAN GENERAL HOSPITAL,"515 MAIN STREET
OLEAN, NY
(42.089448, -78.426977)",2,575,26,NaN,NaN
480,NY,ERIE,SPRINGVILLE,BERTRAND CHAFFEE HOSPITAL,"224 EAST MAIN STREET
SPRINGVILLE, NY
(42.508484, -78.659235)",2,420,38,NaN,NaN
481,NY,WESTCHESTER,MOUNT KISCO,NORTHERN WESTCHESTER HOSPITAL,"400 EAST MAIN STREET
MOUNT KISCO, NY
(41.196692, -73.724449)",4,961,30,NaN,NaN
482,NY,RICHMOND,STATEN ISLAND,STATEN ISLAND UNIVERSITY HOSPITAL,"475 SEAVIEW AVENUE
STATEN ISLAND, NY
(40.584082, -74.087013)",2,465,21,NaN,NaN
483,NY,SUFFOLK,PATCHOGUE,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,"101 HOSPITAL ROAD
PATCHOGUE, NY
(40.779337, -72.978147)",1,995,20,NaN,NaN
484,NY,NASSAU,ROSLYN,"ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD
ROSLYN, NY
(40.804505, -73.672669)",4,1652,35,NaN,NaN
485,NY,NIAGARA,LOCKPORT,EASTERN NIAGARA HOSPITAL,"521 EAST AVENUE
LOCKPORT, NY
(43.17638, -78.671075)",2,629,24,NaN,NaN
486,NY,RENSSELAER,TROY,SAMARITAN HOSPITAL,"2215 BURDETT AVENUE
TROY, NY
(42.733632, -73.671369)",2,1333,25,NaN,NaN
487,NY,CORTLAND,CORTLAND,"CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE
CORTLAND, NY
(42.608997, -76.186117)",2,453,22,NaN,NaN
488,NY,SCHENECTADY,SCHENECTADY,ELLIS HOSPITAL,"1101 NOTT STREET
SCHENECTADY, NY
(42.819818, -73.918883)",2,565,25,NaN,NaN
489,NY,JEFFERSON,WATERTOWN,SAMARITAN MEDICAL CENTER,"830 WASHINGTON STREET
WATERTOWN, NY
(43.96489, -75.912761)",3,646,26,NaN,NaN
490,NY,WESTCHESTER,NEW ROCHELLE,MONTEFIORE NEW ROCHELLE HOSPITAL,"16 GUION PLACE
NEW ROCHELLE, NY
(40.912968, -73.786997)",2,436,16,NaN,NaN
491,NY,NASSAU,MINEOLA,NYU WINTHROP HOSPITAL,"259 FIRST STREET
MINEOLA, NY
(40.74167, -73.64344)",3,1409,24,NaN,NaN
492,NY,NEW YORK,NEW YORK,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,"FIRST AVENUE AT 16TH STREET
NEW YORK, NY
(40.732665, -73.9816)",2,458,15,NaN,NaN
493,NY,ROCKLAND,SUFFERN,GOOD SAMARITAN HOSPITAL OF SUFFERN,"255 LAFAYETTE AVENUE
SUFFERN, NY
(41.112389, -74.136248)",2,500,21,NaN,NaN
494,NY,STEUBEN,HORNELL,ST JAMES MERCY HOSPITAL,"411 CANISTEO STREET
HORNELL, NY
(42.314575, -77.660142)",3,165,31,NaN,NaN
495,NY,MONROE,ROCHESTER,HIGHLAND HOSPITAL,"1000 SOUTH AVENUE
ROCHESTER, NY
(43.135955, -77.607556)",3,1729,29,NaN,NaN
496,NY,WESTCHESTER,YONKERS,ST JOHN'S RIVERSIDE HOSPITAL,"976 NORTH BROADWAY
YONKERS, NY
(40.96784, -73.885107)",3,873,20,NaN,NaN
497,NY,ORANGE,WARWICK,ST ANTHONY COMMUNITY HOSPITAL,"15 - 19 MAPLE AVENUE
WARWICK, NY
(41.261094, -74.356945)",4,336,29,NaN,NaN
498,NY,SAINT LAWRENCE,OGDENSBURG,CLAXTON-HEPBURN MEDICAL CENTER,"214 KING STREET
OGDENSBURG, NY
(44.692091, -75.499934)",3,297,27,NaN,NaN
499,NY,NEW YORK,NEW YORK,METROPOLITAN HOSPITAL CENTER,"1901 FIRST AVENUE
NEW YORK, NY
(40.78472, -73.943636)",2,446,9,NaN,NaN
500,NY,KINGS,BROOKLYN,MAIMONIDES MEDICAL CENTER,"4802 TENTH AVENUE
BROOKLYN, NY
(40.63908, -73.998668)",1,751,17,NaN,NaN
501,NY,ONONDAGA,SYRACUSE,CROUSE HOSPITAL,"736 IRVING AVENUE
SYRACUSE, NY
(43.041666, -76.137853)",2,1075,31,NaN,NaN
502,NY,KINGS,BROOKLYN,CONEY ISLAND HOSPITAL,"2601 OCEAN PARKWAY
BROOKLYN, NY
(40.58494, -73.966285)",1,655,12,NaN,NaN
503,NY,SUFFOLK,PORT JEFFERSON,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,"75 NORTH COUNTRY ROAD
PORT JEFFERSON, NY
(40.938249, -73.052951)",4,871,24,NaN,NaN
504,NY,QUEENS,FLUSHING,FLUSHING HOSPITAL MEDICAL CENTER,"45TH AVENUE AND PARSONS BOULEVARD
FLUSHING, NY
(40.755636, -73.815645)",1,483,14,NaN,NaN
505,NY,KINGS,BROOKLYN,KINGS COUNTY HOSPITAL CENTER,"451 CLARKSON AVENUE
BROOKLYN, NY
(40.655773, -73.944039)",1,768,9,NaN,NaN
506,FL,POLK,DAVENPORT,HEART OF FLORIDA REGIONAL MEDICAL CENTER,"40100 US HWY 27 N
DAVENPORT, FL
",2,671,27,NaN,NaN
507,NY,NEW YORK,NEW YORK,BELLEVUE HOSPITAL CENTER,"462 FIRST AVENUE
NEW YORK, NY
(40.740079, -73.97625)",2,1059,11,NaN,NaN
508,NY,KINGS,BROOKLYN,KINGSBROOK JEWISH MEDICAL CENTER,"585 SCHENECTADY AVENUE
BROOKLYN, NY
(40.658929, -73.934072)",2,521,10,NaN,NaN
509,NY,NEW YORK,NEW YORK,NYU LANGONE HOSPITALS,"550 FIRST AVENUE
NEW YORK, NY
(40.74226, -73.974661)",3,3351,22,NaN,NaN
510,NY,WARREN,GLENS FALLS,GLENS FALLS HOSPITAL,"100 PARK STREET
GLENS FALLS, NY
(43.308335, -73.644551)",3,2251,28,NaN,NaN
511,NY,SAINT LAWRENCE,POTSDAM,CANTON-POTSDAM HOSPITAL,"50 LEROY STREET
POTSDAM, NY
(44.676085, -74.981451)",3,627,26,NaN,NaN
512,NY,NIAGARA,LEWISTON,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,"5300 MILITARY ROAD
LEWISTON, NY
(43.154652, -79.030462)",3,594,29,NaN,NaN
513,NY,ONEIDA,ROME,"ROME MEMORIAL HOSPITAL, INC","1500 NORTH JAMES STREET
ROME, NY
(43.228954, -75.444248)",3,436,24,NaN,NaN
514,NY,QUEENS,JAMAICA,QUEENS HOSPITAL CENTER,"82-68 164TH STREET
JAMAICA, NY
(40.71698, -73.803431)",2,723,11,NaN,NaN
515,NY,NEW YORK,NEW YORK,HARLEM HOSPITAL CENTER,"506 LENOX AVENUE
NEW YORK, NY
(40.814482, -73.940495)",1,537,8,NaN,NaN
516,NY,KINGS,BROOKLYN,WYCKOFF HEIGHTS MEDICAL CENTER,"374 STOCKHOLM STREET
BROOKLYN, NY
(40.704699, -73.917648)",1,330,8,NaN,NaN
517,NY,ULSTER,KINGSTON,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,"105 MARY'S AVENUE
KINGSTON, NY
(41.922453, -73.999335)",4,136,24,NaN,NaN
518,NY,SARATOGA,SARATOGA SPRINGS,SARATOGA HOSPITAL,"211 CHURCH STREET
SARATOGA SPRINGS, NY
(43.084794, -73.796223)",4,614,34,NaN,NaN
519,NY,LIVINGSTON,DANSVILLE,NICHOLAS H NOYES MEMORIAL HOSPITAL,"111 CLARA BARTON STREET
DANSVILLE, NY
(42.55213, -77.700356)",3,412,28,NaN,NaN
520,NY,CHAUTAUQUA,JAMESTOWN,UPMC CHAUTAUQUA WCA,"207 FOOTE AVENUE
JAMESTOWN, NY
(42.091237, -79.23295)",2,698,18,NaN,NaN
521,NY,OSWEGO,OSWEGO,OSWEGO HOSPITAL,"110 WEST SIXTH STREET
OSWEGO, NY
(43.454141, -76.516001)",4,311,25,NaN,NaN
522,NY,CHAUTAUQUA,DUNKIRK,BROOKS MEMORIAL HOSPITAL,"529 CENTRAL AVENUE
DUNKIRK, NY
(42.480106, -79.333617)",3,408,30,NaN,NaN
523,NY,ONONDAGA,SYRACUSE,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,"750 EAST ADAMS STREET
SYRACUSE, NY
(43.042677, -76.139323)",2,614,24,NaN,NaN
524,NY,KINGS,BROOKLYN,BROOKDALE HOSPITAL MEDICAL CENTER,"1 BROOKDALE PLAZA
BROOKLYN, NY
(40.6545, -73.91275)",1,872,10,NaN,NaN
525,NY,ERIE,BUFFALO,ERIE COUNTY MEDICAL CENTER,"462 GRIDER STREET
BUFFALO, NY
(42.927236, -78.829151)",3,1239,25,NaN,NaN
526,NY,WESTCHESTER,VALHALLA,WESTCHESTER MEDICAL CENTER,"100 WOODS RD
VALHALLA, NY
(41.08768, -73.803897)",2,645,18,NaN,NaN
527,FL,MIAMI-DADE,CORAL GABLES,CORAL GABLES HOSPITAL,"3100 DOUGLAS RD
CORAL GABLES, FL
",3,628,25,NaN,NaN
528,NY,SAINT LAWRENCE,MASSENA,MASSENA MEMORIAL HOSPITAL,"1 HOSPITAL DRIVE
MASSENA, NY
(44.936344, -74.907828)",2,413,21,NaN,NaN
529,FL,ALACHUA,GAINESVILLE,NORTH FLORIDA REGIONAL MEDICAL CENTER,"6500 NEWBERRY RD
GAINESVILLE, FL
",3,2362,23,NaN,NaN
530,NY,MONROE,ROCHESTER,UNITY HOSPITAL OF ROCHESTER,"1555 LONG POND ROAD
ROCHESTER, NY
(43.191527, -77.701464)",3,1792,32,NaN,NaN
531,FL,MIAMI-DADE,MIAMI,KENDALL REGIONAL MEDICAL CENTER,"11750 BIRD RD
MIAMI, FL
",2,1145,22,NaN,NaN
532,NY,CAYUGA,AUBURN,AUBURN  COMMUNITY  HOSPITAL,"17 LANSING STREET
AUBURN, NY
(42.940761, -76.564607)",2,398,26,NaN,NaN
533,NY,TOMPKINS,ITHACA,CAYUGA MEDICAL CENTER AT ITHACA,"101 DATES DRIVE
ITHACA, NY
(42.467096, -76.538808)",4,482,27,NaN,NaN
534,NY,FULTON,GLOVERSVILLE,NATHAN LITTAUER HOSPITAL,"99 EAST STATE STREET
GLOVERSVILLE, NY
(43.068029, -74.330817)",3,382,23,NaN,NaN
535,FL,LEE,FORT MYERS,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,"13681 DOCTORS WAY
FORT MYERS, FL
(26.543016, -81.848589)",3,3681,29,NaN,NaN
536,NY,ONTARIO,CLIFTON SPRINGS,CLIFTON SPRINGS HOSPITAL AND CLINIC,"2 COULTER ROAD
CLIFTON SPRINGS, NY
(42.960473, -77.139252)",3,324,32,NaN,NaN
537,FL,BROWARD,TAMARAC,UNIVERSITY HOSPITAL AND MEDICAL CENTER,"7201 N UNIVERSITY DR
TAMARAC, FL
(26.211385, -80.252543)",2,1108,19,NaN,NaN
538,NY,ERIE,BUFFALO,MERCY HOSPITAL OF BUFFALO,"565 ABBOTT ROAD
BUFFALO, NY
(42.847875, -78.811876)",2,794,32,NaN,NaN
539,NY,WESTCHESTER,CORTLANDT MANOR,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,"1980 CROMPOND ROAD
CORTLANDT MANOR, NY
(41.291457, -73.893601)",3,1217,22,NaN,NaN
540,NY,NASSAU,ROCKVILLE CENTRE,MERCY MEDICAL CENTER,"1000 NORTH VILLAGE AVENUE
ROCKVILLE CENTRE, NY
(40.688191, -73.633236)",2,745,20,NaN,NaN
541,NY,MONROE,ROCHESTER,STRONG MEMORIAL HOSPITAL,"601 ELMWOOD AVE
ROCHESTER, NY
(43.124394, -77.623692)",3,1032,28,NaN,NaN
542,NY,CLINTON,PLATTSBURGH,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,"75 BEEKMAN STREET
PLATTSBURGH, NY
(44.700122, -73.466647)",3,487,27,NaN,NaN
543,NY,NEW YORK,NEW YORK,HOSPITAL FOR SPECIAL SURGERY,"535 EAST 70TH STREET
NEW YORK, NY
(40.764866, -73.953128)",4,1889,47,NaN,NaN
544,NY,SUFFOLK,PORT JEFFERSON,ST CHARLES HOSPITAL,"200 BELLE TERRE ROAD
PORT JEFFERSON, NY
(40.947392, -73.059832)",3,835,26,NaN,NaN
545,NY,PUTNAM,CARMEL,PUTNAM HOSPITAL CENTER,"670 STONELEIGH AVENUE
CARMEL, NY
(41.384844, -73.664475)",4,1316,32,NaN,NaN
546,NY,ONEIDA,UTICA,ST ELIZABETH MEDICAL CENTER,"2209 GENESEE STREET
UTICA, NY
(43.083646, -75.267158)",3,592,32,NaN,NaN
547,NY,ORANGE,NEWBURGH,ST LUKE'S CORNWALL HOSPITAL,"70 DUBOIS STREET
NEWBURGH, NY
(41.503744, -74.015176)",2,948,18,NaN,NaN
548,NY,WESTCHESTER,SLEEPY HOLLOW,PHELPS MEMORIAL HOSPITAL ASSN,"701 NORTH BROADWAY
SLEEPY HOLLOW, NY
(41.107555, -73.859639)",4,347,24,NaN,NaN
549,NY,SCHOHARIE,COBLESKILL,COBLESKILL REGIONAL HOSPITAL,"178 GRANDVIEW DRIVE
COBLESKILL, NY
(42.686224, -74.482987)",3,115,28,NaN,NaN
550,FL,LEE,CAPE CORAL,CAPE CORAL HOSPITAL,"636 DEL PRADO BLVD
CAPE CORAL, FL
",2,2711,29,NaN,NaN
551,NY,SUFFOLK,WEST ISLIP,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"1000 MONTAUK HIGHWAY
WEST ISLIP, NY
(40.696807, -73.286321)",2,2115,22,NaN,NaN
552,NY,KINGS,BROOKLYN,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,"506 SIXTH STREET
BROOKLYN, NY
(40.668263, -73.979141)",2,1386,16,NaN,NaN
553,NY,STEUBEN,CORNING,CORNING HOSPITAL,"1 GUTHRIE DRIVE
CORNING, NY
(42.136107, -76.969841)",3,589,26,NaN,NaN
554,NY,BRONX,BRONX,ST BARNABAS HOSPITAL,"4422 THIRD AVENUE
BRONX, NY
(40.85277, -73.892168)",1,843,10,NaN,NaN
555,NY,KINGS,BROOKLYN,INTERFAITH MEDICAL CENTER,"1545 ATLANTIC AVENUE
BROOKLYN, NY
(40.677866, -73.937154)",1,443,16,NaN,NaN
556,NY,NASSAU,PLAINVIEW,PLAINVIEW HOSPITAL,"888 OLD COUNTRY ROAD
PLAINVIEW, NY
(40.774456, -73.478063)",2,609,29,NaN,NaN
557,NY,KINGS,BROOKLYN,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),"445 LENOX ROAD
BROOKLYN, NY
(40.654457, -73.94516)",1,305,8,NaN,NaN
558,NY,BROOME,BINGHAMTON,"UNITED HEALTH SERVICES HOSPITALS, INC","10-42 MITCHELL AVENUE
BINGHAMTON, NY
(42.088097, -75.914166)",2,348,24,NaN,NaN
559,FL,PALM BEACH,LOXAHATCHEE,PALMS WEST HOSPITAL,"13001 SOUTHERN BLVD
LOXAHATCHEE, FL
(26.681928, -80.251439)",2,1200,19,NaN,NaN
560,NY,KINGS,BROOKLYN,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,"760 BROADWAY
BROOKLYN, NY
(40.700512, -73.941557)",1,512,9,NaN,NaN
561,NY,SUFFOLK,SMITHTOWN,ST CATHERINE OF SIENA HOSPITAL,"50 ROUTE 25A
SMITHTOWN, NY
(40.867592, -73.220142)",2,1121,25,NaN,NaN
562,TX,ERATH,STEPHENVILLE,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,"411 N BELKNAP ST
STEPHENVILLE, TX
(32.223163, -98.204871)",4,420,28,NaN,NaN
563,NY,SUFFOLK,SOUTHAMPTON,UNIVERSITY HOSPITAL -  STONY BROOK SOUTHAMPTON,"240 MEETING HOUSE LANE
SOUTHAMPTON, NY
(40.885734, -72.380983)",2,327,25,NaN,NaN
